 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.01000   0.04348 0.10000 0.17500   -6037.25 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.10000 0.17500   -4551.13 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.40000 0.15000   -4511.14 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.40000 0.17500   -4391.51 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.20600   0.04348 0.10000 0.05000   -3652.78 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.00000 0.30400   0.04348 0.10000 0.05000   -3386.82 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.01000   0.08696 0.34000 0.20600   0.04348 0.10000 0.05000   -2935.05 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.20750   0.08696 0.00000 0.10800   0.04348 0.10000 0.05000   -2504.96 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.20750   0.08696 0.00000 0.20600   0.04348 0.10000 0.05000   -2405.63 
 0.78261 0.13000 0.00500   0.08696 0.45000 0.20750   0.08696 0.34000 0.20600   0.04348 0.10000 0.05000   -2347.9 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.01000   0.04348 0.10000 0.17500   934.597 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.01000   0.04348 0.40000 0.12500   1189.78 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.01000   0.04348 0.40000 0.15000   1356.99 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.01000   0.04348 0.40000 0.17500   1437.03 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.40000 0.12500   1709.45 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.40000 0.15000   1820.43 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.10800   0.04348 0.40000 0.17500   1874.71 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.20600   0.04348 0.40000 0.15000   1935.52 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.20600   0.04348 0.40000 0.17500   1987.12 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.30400   0.04348 0.40000 0.17500   1988.61 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.40200   0.04348 0.10000 0.07500   2027.35 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.00000 0.50000   0.04348 0.10000 0.07500   2035.16 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.34000 0.10800   0.04348 0.40000 0.17500   2031.18 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.34000 0.20600   0.04348 0.10000 0.05000   2298.08 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.01000   0.08696 0.34000 0.20600   0.04348 0.10000 0.07500   2335.03 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.20750   0.08696 0.00000 0.10800   0.04348 0.10000 0.05000   2432.07 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.20750   0.08696 0.00000 0.10800   0.04348 0.10000 0.07500   2464.83 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.20750   0.08696 0.00000 0.20600   0.04348 0.10000 0.05000   2498.54 
 0.78261 0.13000 0.01125   0.08696 0.45000 0.20750   0.08696 0.00000 0.20600   0.04348 0.10000 0.07500   2526.87 
